time_s,x_M_m,y_M_m,sigma_rad,sigma_deg,lambda_m,x_T_m,y_T_m,r_m,q_rad,q_deg,qdot_rad_s,qdot_deg_s,a_n_m_s2,n_g
0,0,0,0.523598775598299,30,0,8660.25403784439,5000,10000,0.523598775598299,30,0.025,1.43239448782706,25,2.54929053244482
7.96214341106995e-07,0.000689541838331679,0.000398107184279075,0.523598795503658,30.0000011404931,0.000796214341106995,8660.25363973722,5000,9999.99885901473,0.523598795503658,30.0000011404931,0.0250000037143909,1.43239470064598,25.0000017238547,2.54929070822908
1.59242868221399e-06,0.00137908366081442,0.000796214396009308,0.523598815409019,30.0000022809862,0.00159242868221399,8660.25324163005,5000,9999.99771802948,0.523598815409019,30.0000022809862,0.0250000074287827,1.43239491346495,25.0000034477096,2.54929088401335
2.38864302332098e-06,0.00206862546744823,0.0011943216351907,0.523598835314381,30.0000034214794,0.00238864302332098,8660.25284352287,5000,9999.99657704422,0.523598835314381,30.0000034214794,0.0250000111431754,1.43239512628398,25.0000051715646,2.54929105979764
3.18485736442798e-06,0.0027581672582331,0.00159242890182326,0.523598855219744,30.0000045619728,0.00318485736442797,8660.2524454157,5000,9999.99543605897,0.523598855219744,30.0000045619728,0.025000014857569,1.43239533910305,25.0000068954197,2.54929123558195
7.16592906996295e-06,0.00620587597442324,0.00358296564675353,0.523598954746581,30.0000102644405,0.00716592906996291,8660.25045487985,5000,9999.98973113278,0.523598954746581,30.0000102644405,0.0250000334295501,1.43239640319919,25.000015514698,2.54929211450373
1.11470007754979e-05,0.00965358429438946,0.00557350307796319,0.523599054273453,30.0000159669102,0.0111470007754978,8660.248464344,5000,9999.98402620669,0.523599054273453,30.0000159669102,0.0250000520015535,1.4323974672966,25.0000241339802,2.54929299342591
1.51280724810329e-05,0.0131012922181314,0.00756404119545251,0.523599153800359,30.0000216693818,0.0151280724810325,8660.24647380815,5000,9999.97832128069,0.523599153800359,30.0000216693818,0.025000070573579,1.43239853139528,25.0000327532663,2.54929387234849
1.91091441865679e-05,0.0165489997456488,0.00955457999922176,0.523599253327299,30.0000273718554,0.0191091441865671,8660.24448327229,5000,9999.9726163548,0.523599253327299,30.0000273718554,0.0250000891456267,1.43239959549523,25.0000413725564,2.54929475127148
3.90145027142427e-05,0.0337875314398548,0.0195072843122766,0.523599750962515,30.000055884253,0.0390145027142365,8660.23453059303,5000,9999.94409172681,0.523599750962514,30.000055884253,0.0250001820061981,1.43240491601405,25.0000844690664,2.54929914589247
5.89198612419176e-05,0.0510260532283946,0.0294600057823712,0.523600248598588,30.0000843966998,0.0589198612418963,8660.22457791376,5000,9999.91556710129,0.523600248598588,30.0000843966998,0.0250002748673239,1.43241023656465,25.0001275656755,2.54930354052357
7.88252197695924e-05,0.0682645651112257,0.0394127444095401,0.523600746235519,30.0001129091957,0.0788252197695414,8660.2146252345,5000,9999.88704247826,0.523600746235519,30.0001129091957,0.0250003677290043,1.43241555714701,25.0001706623836,2.54930793516477
9.87305782972673e-05,0.0855030670883052,0.0493655001938176,0.523601243873309,30.0001414217407,0.0987305782971671,8660.20467255524,5000,9999.8585178577,0.523601243873309,30.0001414217407,0.0250004605912393,1.43242087776115,25.0002137591908,2.54931232981608
0.000198257370935642,0.171695428385936,0.0991295364730441,0.523603732075123,30.0002839852033,0.19825737093483,8660.15490915892,5000,9999.71589479204,0.523603732075122,30.0002839852033,0.0250009249107322,1.43244748130844,25.0004292447126,2.5493343032241
0.000297784163574016,0.257887542033376,0.148894001685165,0.523606220298383,30.0004265498946,0.297784163571265,8660.1051457626,5000,9999.57327178829,0.523606220298383,30.0004265498946,0.0250013892440893,1.43247408565009,25.0006447327108,2.54935627688465
0.00039731095621239,0.344079408025288,0.198658895834492,0.523608708543091,30.0005691158147,0.397310956205857,8660.05538236628,5000,9999.43064884646,0.523608708543091,30.0005691158147,0.0250018535913112,1.43250069078613,25.0008602231856,2.54937825079773
0.000496837748850764,0.430271026356335,0.248424218925341,0.523611196809246,30.0007116829637,0.496837748837988,8660.00561896996,5000,9999.28802596655,0.523611196809246,30.0007116829637,0.0250023179523985,1.43252729671661,25.0010757161368,2.54940022496335
0.000994471712042636,0.861225402911817,0.497257268653359,0.523623638461737,30.0014245371416,0.994471711940174,8659.75680198837,5000,9998.57491249575,0.523623638461737,30.0014245371416,0.0250046399658366,1.43266033828658,25.002153218042,2.54951009957957
0.00149210567523451,1.29217358714512,0.7461010425664,0.523636080650444,30.0021374220425,1.4921056748884,8659.50798500677,5000,9997.86180057305,0.523636080650444,30.0021374220425,0.0250069623259977,1.43279339972232,25.0032307818651,2.54961998050967
0.00198973963842638,1.72311557838904,0.994955541203653,0.5236485233754,30.0028503376681,1.98973963760559,8659.25916802517,5000,9997.14869019864,0.5236485233754,30.002850337668,0.0250092850329551,1.43292648102803,25.0043084076101,2.54972986775403
0.00248737360161825,2.15405137597626,1.24382076510432,0.523660966636634,30.0035632840202,2.48737360001466,8659.01035104358,5000,9996.43558137268,0.523660966636634,30.0035632840202,0.0250116080867824,1.43305958220791,25.005386095281,2.54983976131309
0.00497554341757761,4.30863743570106,2.48830778243233,0.523723190988062,30.0071284767399,4.97554340473861,8657.7662661356,5000,9992.87006047591,0.523723190988062,30.0071284767399,0.0250232285615382,1.43372538636736,25.010775462664,2.5503893238429
0.00746371323353697,6.46306855386869,3.73306301223625,0.523785428751079,30.0106944378871,7.46371319018441,8656.52218122762,5000,9989.30457831711,0.523785428751079,30.0106944378871,0.0250348577190684,1.43439168801313,25.0161663787949,2.55093904430105
0.00995188304949632,8.61734464697845,4.97808652193549,0.523847679929537,30.0142611676825,9.95188294669325,8655.27809631964,5000,9985.73913491848,0.523847679929537,30.0142611676825,0.0250464955685767,1.43505848767256,25.0215588441744,2.55148892273859
0.0124400528654557,10.7714656314804,6.22337837895981,0.523909944527293,30.0178286663469,12.4400526645939,8654.03401141166,5000,9982.1737303022,0.523909944527293,30.0178286663469,0.0250581421192796,1.43572578587372,25.0269528593032,2.55203895920657
