method_id,method_name,t_end_s,hit,miss_m,peak_abs_a_n_g,terminal_a_n_g,terminal_qdot_deg_s
three_point,三点法,7.21853917126101,1,3.34417132959975e-11,5.04685644521428,5.04685644521428,2593.47708345752
pursuit,追踪法,7.55983050022708,1,2.82090012101813e-11,1573.87041303663,46.3738555675185,26.0565260211821
pn_K4,比例导引法 K=4,7.17321011346669,1,1.32103847142032e-08,7343749.40119983,-7343749.40119983,-1031575.84712146
