time_s,x_M_m,y_M_m,sigma_rad,sigma_deg,lambda_m,x_T_m,y_T_m,r_m,q_rad,q_deg,qdot_rad_s,qdot_deg_s,a_n_m_s2,n_g
0,0,0,0.523598775598299,30,0,8660.25403784439,5000,10000,0.523598775598299,30,0.025,1.43239448782706,100,10.1971621297793
9.19389128341528e-07,0.000796214319975085,0.000459694600772302,0.523598867537207,30.0000052677114,0,8660.25357814982,5000,9999.9986825037,0.523598798583026,30.0000013169279,0.0249999973935902,1.43239433849077,99.9999895743606,10.1971610666599
1.83877825668306e-06,0.00159242859768635,0.000919389274747674,0.523598959476105,30.0000105354223,0,8660.25311845526,5000,9999.99736500741,0.523598821567751,30.0000026338556,0.0249999947871802,1.43239418915449,99.9999791487209,10.1971600035405
2.75816738502458e-06,0.00238864283313379,0.0013790840219261,0.523599051414994,30.0000158031326,0,8660.25265876069,5000,9999.99604751113,0.523598844552473,30.0000039507831,0.0249999921807702,1.43239403981819,99.9999687230808,10.1971589404211
3.67755651336611e-06,0.00318485702631741,0.00183877884230758,0.523599143353873,30.0000210708423,0,8660.25219906613,5000,9999.99473001485,0.523598867537192,30.0000052677106,0.0249999895743601,1.43239389048189,99.9999582974403,10.1971578773017
8.27450215507375e-06,0.00716592735827802,0.00413725404226025,0.523599603048126,30.0000474093829,0,8660.24990059331,5000,9999.98814253352,0.523598982460756,30.0000118523457,0.0249999765423079,1.4323931438003,99.9999061692316,10.1971525617037
1.28714477967814e-05,0.0111469966336426,0.00643573107228735,0.523600062742139,30.0000737479097,0,8660.24760212049,5000,9999.98155505233,0.523599097384259,30.0000184369774,0.0249999635102534,1.43239239711858,99.9998540410134,10.1971472461048
1.7468393438489e-05,0.015128064852411,0.00873420993238745,0.523600522435912,30.0001000864228,0,8660.24530364767,5000,9999.97496757128,0.523599212307702,30.0000250216057,0.0249999504781963,1.43239165043671,99.9998019127852,10.1971419305048
2.20653390801967e-05,0.0191091320145828,0.0110326906225591,0.523600982129446,30.0001264249221,0,8660.24300517485,5000,9999.96838009035,0.523599327231086,30.0000316062305,0.0249999374461368,1.43239090375471,99.9997497845472,10.1971366149039
4.50500672887349e-05,0.0390144519764831,0.0225251215244402,0.523603280593521,30.0002581172129,0,8660.23151281074,5000,9999.9354426877,0.523599901847104,30.0000645293032,0.0249998722858026,1.43238717034256,99.9994891432104,10.1971100368842
