time,phiDeg,thetaDeg,psiDeg,omegaX,omegaY,omegaZ,wheel1,wheel2,wheel3,wheel4,uX,uY,uZ
0,10,5,-4,0,0,0,0,0,0,0,0,0,0
1,10.0000047384425,5.00000020073766,-3.99999932365672,1.61721995455034e-07,1.10361853186951e-08,3.73249175400438e-08,0.022664374266372,0.0406222702415432,-0.0491735020531711,0.00814822659535809,-0.0273687550846201,-0.0453266510597913,0.044469121234923
2,9.99769123771628,4.99858323843119,-3.99880351958392,-8.36940990780346e-05,-4.1970382059173e-05,3.36752492710428e-05,0.0218546175690094,0.0391687997208867,-0.047412856877918,0.00785806071767722,-0.0263914710396687,-0.0437056531915462,0.0428760034072585
3,9.99084062745699,4.99439942159008,-3.99527538996332,-0.00016461147099396,-8.24540479580031e-05,6.61293107895141e-05,0.0210694039731227,0.0377584984629476,-0.0457038424244037,0.00757717958059651,-0.0254440906436527,-0.0421331851335297,0.0413291557538216
4,9.97961174299077,4.98754855280163,-3.98949833929576,-0.000242679975205,-0.000121484680230198,9.74336534810167e-05,0.0203026467747323,0.0363781746146794,-0.0440306256158677,0.00730359393515706,-0.0245193786992,-0.0405949065392273,0.0398138936913198
5,9.96415880454422,4.97812846476101,-3.98155435733968,-0.000317967140096009,-0.000159093834772659,0.000127611463488237,0.0195540185027393,0.0350274891325265,-0.0423928253133515,0.00703713901962403,-0.0236169126099917,-0.0390903832400517,0.0383299312058262
6,9.94463208587787,4.96623539860246,-3.97152431648773,-0.000390539261868462,-0.000195312668223728,0.000156685726295783,0.0188231938587034,0.0337061019265654,-0.0407900577428245,0.0067776522438863,-0.0227362732061858,-0.0376191812740478,0.036876978395342
7,9.92117801702687,4.95196396194744,-3.95948791356019,-0.00046046141174349,-0.000230171938084341,0.000184679223593104,0.0181098511660425,0.0324136750466817,-0.0392219402988967,0.006524973669618,-0.0218770464707029,-0.0361808703513421,0.0354547449942363
8,9.89393928424506,4.93540709141107,-3.94552361691996,-0.000527797448610241,-0.000263702006024094,0.000211614532756028,0.0174136724391358,0.0311498721036893,-0.0376880909324593,0.00627894606950394,-0.0210388236427148,-0.0347750233066305,0.034062939729518
9,9.86305492705698,4.91665601932006,-3.92970861861809,-0.000592610032229353,-0.000295932840679407,0.00023751402584687,0.0167343434444255,0.0299143577567534,-0.0361881276143766,0.00603941497621819,-0.0202212013067575,-0.0334012156187006,0.0327012697524294
10,9.82866043245714,4.89580024451247,-3.91211879137793,-0.000654960636871274,-0.00032689402001428,0.000262399868183484,0.0160715537544197,0.0287067972617628,-0.0347216678698664,0.00580622872168038,-0.019423781469917,-0.0320590249772602,0.031369440154369
11,9.79088782630414,4.87292750708267,-3.8928286502255,-0.000714909565376374,-0.000356614733283175,0.000286294016542298,0.0154249967943764,0.0275268560774694,-0.0332883283787632,0.00557923846740182,-0.0186461716254078,-0.0307480309085008,0.0300671535477318
12,9.74986576196076,4.84812376693004,-3.87191131857186,-0.000772515963581833,-0.000385123782650696,0.000309218217046971,0.0147943698821288,0.0263741995256661,-0.0318877246373869,0.00535829822650217,-0.0178879848057413,-0.0294678144492785,0.0287941097137745
13,9.70571960623552,4.82147318596594,-3.84943849855354,-0.000827837835060341,-0.000412449584511803,0.000331194002794498,0.0141793742614407,0.0252484925020005,-0.0305194706777772,0.00514326487810597,-0.0171488396236031,-0.0282179578634837,0.0275500053162941
14,9.65857152268559,4.79305811383049,-3.82548044543746,-0.000880932056146532,-0.000438620170555434,0.000352242691262875,0.0135797151290448,0.0241493992341431,-0.0291831788403133,0.00493399817460884,-0.0164283603038341,-0.0269980444081707,0.0263345336662858
15,9.60854055234291,4.76295907696861,-3.80010594589874,-0.000931854391195498,-0.000463663188612674,0.000372385381546048,0.0129951016558271,0.0230765830839813,-0.0278784595957488,0.00473036074245402,-0.0157261767041992,-0.0258076581323534,0.0251473845473767
16,9.55574269192902,4.73125477091341,-3.77338229998105,-0.000980659508037555,-0.000487605903322061,0.000391642951457796,0.0124252470024047,0.0220297063908633,-0.0266049214128813,0.0045322180770234,-0.0150419243294472,-0.0246463837179058,0.0239882440858388
17,9.50029096962562,4.69802205562494,-3.74537530655225,-0.00102740099360494,-0.000510475196653506,0.000410036054538189,0.0118698683293677,0.0210084303526886,-0.0253621706683459,0.0043394385319794,-0.01437524433377,-0.0235138063576081,0.0228567946634263
18,9.44229551846966,4.6633359537322,-3.7161492520711,-0.0010721313696833,-0.000532297568318209,0.000427585116999378,0.0113286868025769,0.0200124149420502,-0.024149811595049,0.0041518933036796,-0.0137257835192585,-0.0224095116581641,0.021752714878935
19,9.38186364744262,4.62726965152718,-3.68576690248391,-0.00111490210876666,-0.000553099136095363,0.000444310334641801,0.0108014275937211,0.0190413188546191,-0.0229674462659492,0.00396945641106293,-0.0130931943213698,-0.0213330855822677,0.0206756795383005
20,9.31909991032508,4.58989450256146,-3.65428949807439,-0.0011557636499802,-0.000572905636102547,0.000460231669769804,0.0102878198764906,0.0180947994870922,-0.0218146746100628,0.00379200467146737,-0.0124771347946257,-0.0202841144045504,0.0196253596926047
21,9.25410617238742,4.55128003369751,-3.62177675109388,-0.00119476541504173,-0.000591742423036759,0.000475368848131329,0.00978759681869177,0.0171725129420866,-0.0206910944577741,0.00361941767274341,-0.0118772685865243,-0.0192621847091829,0.0186014226906778
22,9.18698167498832,4.51149395346922,-3.58828684600358,-0.00123195582425802,-0.000609634470406336,0.000489741355907604,0.00930049557032333,0.0162741140576532,-0.0195963016125089,0.00345157774202871,-0.0112932649089538,-0.0182668833962837,0.0176035322738785
23,9.11782309815131,4.47060216260905,-3.55387644216544,-0.00126738231249028,-0.000626606370777445,0.000503368436771951,0.00882625724835509,0.0153992564589159,-0.0185298899462619,0.00328836991162145,-0.0107247985023457,-0.0172977977120405,0.0166313486931372
24,9.04672462119113,4.42866876660227,-3.51860067882281,-0.0013010913451113,-0.000642682336049635,0.000516269089040582,0.00836462691794963,0.0145475926298348,-0.0174914515162317,0.00312968188223149,-0.0101715495951339,-0.016354515307019,0.0156845288390474
25,8.97377798145888,4.38575609013205,-3.48251318221744,-0.00133312843390541,-0.000657886197783913,0.000528462062927769,0.00791535357076048,0.0137187740027543,-0.0164805767003946,0.00297540398387837,-0.00963320386180054,-0.0154366242937944,0.0147627264093546
26,8.89907253127544,4.34192469328278,-3.44566607469434,-0.00136353815290429,-0.000672241407591296,0.000539965857923717,0.00747819010034972,0.0129124510639966,-0.0154968543496593,0.00282542913481618,-0.00910945237163479,-0.0145437133352817,0.0138655920783742
