method_id,method_name,object_id,object_type,time_s,x_m,y_m,z_m,heading_deg,pitch_deg,roll_deg,speed_mps,r_m,q_deg,qdot_deg_s,a_n_m_s2,n_g
pursuit,追踪法,station_pursuit,station,0,0,0,0,0,0,0,0,0,0,0,0,0
pursuit,追踪法,missile_pursuit,missile,0,0,0,0,59.999999833815,30.000000166185,0,1000,10000,30,1.43239448782704,24.9999999999998,2.5492905324448
pursuit,追踪法,missile_pursuit,missile,2.32038129184932e-07,0.000200950914184256,0,0.000116019065175319,59.9999990028896,30.0000009971104,0,1000,9999.99966748641,30.0000003323701,1.43239454984816,25.0000010824724,2.54929064282629
pursuit,追踪法,missile_pursuit,missile,1.39222877510959e-06,0.00120570547501022,0,0.000696114408537521,59.9999946820754,30.0000053179246,0,1000,9999.99800491849,30.0000019942211,1.4323948599538,25.0000064948369,2.54929119473387
pursuit,追踪法,missile_pursuit,missile,7.19318200473289e-06,0.00622947802675691,0,0.00359659156248882,59.9999730779582,30.0000269220418,0,1000,9999.98969207898,30.0000103034812,1.43239641048375,25.0000335566897,2.54929395427487
pursuit,追踪法,missile_pursuit,missile,3.61979481528494e-05,0.0313483344758953,0,0.0180989882607752,59.9998650562009,30.0001349437991,0,1000,9999.94812788461,30.0000518499165,1.4324041631771,25.0001688667146,2.54930775205749
pursuit,追踪法,missile_pursuit,missile,0.000181221778893432,0.156942458979536,0,0.0906112449682734,59.9993249181345,30.0006750818655,0,1000,9999.74030699162,30.0002595854663,1.43244292773408,25.0008454358669,2.54937674291087
pursuit,追踪法,missile_pursuit,missile,0.000906340932596344,0.784909137674697,0,0.45317935925991,59.9966234955392,30.0033765044608,0,1000,9998.70120449857,30.0012983475492,1.43263677777752,25.0042287573801,2.54972174569094
pursuit,追踪法,missile_pursuit,missile,0.0045319367011109,3.92464390159082,0,2.26619074364741,59.9889331054424,30.0110668945576,0,1000,9993.50574134809,30.006494267336,1.43360670992771,25.0211572669218,2.55144797325506
pursuit,追踪法,missile_pursuit,missile,0.0145319367011109,12.5837050201374,0,7.26825631924563,59.9791517912975,30.0208482087025,0,1000,9979.17621078882,30.0208437328983,1.43628784867312,25.067951965732,2.55621970456089
pursuit,追踪法,missile_pursuit,missile,0.0245319367011109,21.2415119505148,0,12.2724923879837,59.9647754563692,30.0352245436309,0,1000,9964.84730732363,30.0352200532986,1.43897768418031,25.1148984516695,2.56100691384616
pursuit,追踪法,missile_pursuit,missile,0.0345319367011109,29.8980617983281,0,17.2789026993452,59.9503721793685,30.0496278206315,0,1000,9950.51903239972,30.0496233157048,1.44167625654511,25.1619974245386,2.56580967247109
pursuit,追踪法,missile_pursuit,missile,0.0445319367011109,38.5533516585617,0,22.2874910141043,59.9359418727238,30.0640581272762,0,1000,9936.19138746961,30.0640536076868,1.44438360610293,25.209249588325,2.57062805222221
pursuit,追踪法,missile_pursuit,missile,0.0545319367011109,47.2073786155263,0,27.2982611043745,59.9214844484608,30.0785155515392,0,1000,9921.86437399113,30.0785110172194,1.44709977343045,25.2566556512254,2.57546212531551
pursuit,追踪法,missile_pursuit,missile,0.0645319367011109,55.8601397428052,0,32.3112167536564,59.906999818198,30.093000181802,0,1000,9907.53799342749,30.092995632684,1.44982479934744,25.304216325679,2.58031196439957
pursuit,追踪法,missile_pursuit,missile,0.0745319367011109,64.5116321032002,0,37.3263617568876,59.8924878931428,30.1075121068572,0,1000,9893.21224724729,30.1075075428718,1.45255872491851,25.3519323283986,2.58517764255873
pursuit,追踪法,missile_pursuit,missile,0.0845319367011109,73.161852748677,0,42.3436999204914,59.8779485840928,30.1220514159072,0,1000,9878.88713692455,30.1220468369856,1.45530159145492,25.3998043804018,2.59005923331635
pursuit,追踪法,missile_pursuit,missile,0.0945319367011109,81.8107987203108,0,47.3632350624261,59.8633818014304,30.1366181985696,0,1000,9864.56266393873,30.1366136046426,1.45805344051644,25.4478332070432,2.594956810638
pursuit,追踪法,missile_pursuit,missile,0.104531936701111,90.4584670482309,0,52.3849710122353,59.8487874551201,30.1512125448799,0,1000,9850.23882977477,30.151207935877,1.46081431391313,25.4960195380461,2.59987044893476
pursuit,追踪法,missile_pursuit,missile,0.114531936701111,99.1048547515652,0,57.4089116110976,59.8341654547096,30.1658345452904,0,1000,9835.91563592311,30.1658299211422,1.46358425370722,25.544364107535,2.60480022306649
pursuit,追踪法,missile_pursuit,missile,0.124531936701111,107.749958838385,0,62.4350607118766,59.8195157093213,30.1804842906788,0,1000,9821.5930838797,30.1804796513135,1.46636330221498,25.592867654068,2.60974620834515
pursuit,追踪法,missile_pursuit,missile,0.134531936701111,116.393776305647,0,67.4634221791724,59.8048381276558,30.1951618723442,0,1000,9807.27117514606,30.1951572176907,1.46915150200859,25.64153092067,2.61470848053821
pursuit,追踪法,missile_pursuit,missile,0.144531936701111,125.03630413914,0,72.4939998893713,59.7901326179877,30.2098673820123,0,1000,9792.94991122932,30.2098627120007,1.47194889591806,25.6903546548654,2.61968711587193
pursuit,追踪法,missile_pursuit,missile,0.154531936701111,133.677539313425,0,77.526797730698,59.7753990881565,30.2246009118435,0,1000,9778.62929364218,30.2245962263998,1.47475552703312,25.7393396087123,2.62468219103488
pursuit,追踪法,missile_pursuit,missile,0.164531936701111,142.317478791778,0,82.5618196032664,59.7606374455746,30.2393625544254,0,1000,9764.309323903,30.2393578534765,1.47757143870519,25.7884865388352,2.62969378318133
pursuit,追踪法,missile_pursuit,missile,0.174531936701111,150.956119526135,0,87.5990694191316,59.7458475972212,30.2541524027788,0,1000,9749.99000353582,30.2541476862544,1.48039667454929,25.8377962064601,2.6347219699347
pursuit,追踪法,missile_pursuit,missile,0.184531936701111,159.593458457033,0,92.6385511023419,59.7310294496316,30.2689705503684,0,1000,9735.67133407037,30.2689658181943,1.48323127844605,25.8872693774483,2.63976682939111
pursuit,追踪法,missile_pursuit,missile,0.194531936701111,168.229492513548,0,97.6802685889911,59.7161829089032,30.2838170910968,0,1000,9721.35331704211,30.2838123431973,1.48607529454365,25.9369068223312,2.6448284401229
pursuit,追踪法,missile_pursuit,missile,0.204531936701111,176.864218613241,0,102.724225827271,59.7013078806969,30.2986921193031,0,1000,9707.03595399227,30.2986873556072,1.48892876725988,25.9867093163452,2.64990688118218
pursuit,追踪法,missile_pursuit,missile,0.214531936701111,185.497633662098,0,107.770426777524,59.6864042702188,30.3135957297812,0,1000,9692.71924646784,30.3135909502135,1.49179174128411,26.0366776394671,2.65500223210445
pursuit,追踪法,missile_pursuit,missile,0.224531936701111,194.129734554467,0,112.818875412298,59.6714719822279,30.3285280177721,0,1000,9678.40319602166,30.3285232222538,1.49466426157935,26.0868125764495,2.66011457291221
pursuit,追踪法,missile_pursuit,missile,0.234531936701111,202.760518173002,0,117.869575716398,59.65651092104,30.3434890789601,0,1000,9664.08780421239,30.3434842674168,1.49754637338433,26.137114916857,2.66524398411863
pursuit,追踪法,missile_pursuit,missile,0.244531936701111,211.389981388601,0,122.92253168694,59.6415209905119,30.3584790094881,0,1000,9649.77307260459,30.3584741818449,1.50043812221553,26.1875854551021,2.67039054673126
pursuit,追踪法,missile_pursuit,missile,0.254531936701111,220.018121060345,0,127.977747333406,59.6265020940456,30.3734979059544,0,1000,9635.45900276872,30.3734930621371,1.50333955386931,26.2382249904822,2.67555434225574
pursuit,追踪法,missile_pursuit,missile,0.264531936701111,228.644934035439,0,133.035226677698,59.6114541345779,30.3885458654221,0,1000,9621.14559628117,30.3885410053519,1.50625071442401,26.2890343272159,2.68073545269953
pursuit,追踪法,missile_pursuit,missile,0.274531936701111,237.270417149146,0,138.094973754194,59.5963770145889,30.4036229854111,0,1000,9606.83285472432,30.4036181090098,1.50917165024208,26.3400142744806,2.68593396057579
pursuit,追踪法,missile_pursuit,missile,0.284531936701111,245.89456722473,0,143.1569926098,59.5812706360929,30.4187293639071,0,1000,9592.52077968652,30.4187244710964,1.51210240797224,26.3911656464501,2.69114994890713
pursuit,追踪法,missile_pursuit,missile,0.294531936701111,254.517381073391,0,148.22128730401,59.5661349006359,30.4338650993641,0,1000,9578.20937276219,30.4338601900653,1.51504303455164,26.4424892623322,2.6963835012295
pursuit,追踪法,missile_pursuit,missile,0.304531936701111,263.138855494203,0,153.287861908956,59.5509697092934,30.4490302907066,0,1000,9563.89863555179,30.449025364841,1.51799357720805,26.4939859464072,2.70163470159608
pursuit,追踪法,missile_pursuit,missile,0.314531936701111,271.758987274049,0,158.356720509469,59.5357749626684,30.4642250373316,0,1000,9549.58856966186,30.4642200948215,1.5209540834621,26.5456565280662,2.70690363458125
pursuit,追踪法,missile_pursuit,missile,0.324531936701111,280.377773187563,0,163.427867203132,59.5205505608823,30.4794494391177,0,1000,9535.27917670511,30.4794444798816,1.52392460112945,26.5975018418502,2.7121903852845
pursuit,追踪法,missile_pursuit,missile,0.334531936701111,288.995209997057,0,168.50130610034,59.5052964035801,30.4947035964199,0,1000,9520.97045830036,30.4946986203758,1.52690517832311,26.6495227274894,2.71749503933447
pursuit,追踪法,missile_pursuit,missile,0.344531936701111,297.611294452465,0,173.577041324352,59.4900123899295,30.5099876100705,0,1000,9506.66241607266,30.5099826171411,1.52989586345564,26.7017200299425,2.72281768289299
pursuit,追踪法,missile_pursuit,missile,0.354531936701111,306.226023291275,0,178.655077011354,59.4746984186021,30.5253015813979,0,1000,9492.35505165325,30.5252965715004,1.5328967052415,26.7540945994372,2.72815840265913
pursuit,追踪法,missile_pursuit,missile,0.364531936701111,314.839393238461,0,183.735417310512,59.4593543877888,30.5406456122112,0,1000,9478.04836667966,30.5406405852648,1.53590775269933,26.8066472915101,2.73351728587337
pursuit,追踪法,missile_pursuit,missile,0.374531936701111,323.451401006423,0,188.818066384033,59.4439801951806,30.5560198048194,0,1000,9463.74236279568,30.5560147607376,1.53892905515428,26.8593789670476,2.73889442032168
pursuit,追踪法,missile_pursuit,missile,0.384531936701111,332.062043294914,0,193.903028407223,59.4285757379851,30.5714242620149,0,1000,9449.43704165143,30.5714192007167,1.54196066224039,26.912290492327,2.74428989433976
pursuit,追踪法,missile_pursuit,missile,0.394531936701111,340.67131679098,0,198.990307568541,59.4131409129044,30.5868590870956,0,1000,9435.1324049034,30.5868540084977,1.54500262390293,26.9653827390577,2.74970379681723
pursuit,追踪法,missile_pursuit,missile,0.404531936701111,349.279218168888,0,204.079908069667,59.3976756161428,30.6023243838572,0,1000,9420.82845421444,30.6023192878775,1.54805499040082,27.0186565844235,2.75513621720195
pursuit,追踪法,missile_pursuit,missile,0.414531936701111,357.885744090064,0,209.171834125551,59.3821797433953,30.6178202566047,0,1000,9406.52519125386,30.617815143157,1.55111781230905,27.0721129111244,2.76058724550427
pursuit,追踪法,missile_pursuit,missile,0.424531936701111,366.490891203016,0,214.266089964483,59.366653189851,30.633346810149,0,1000,9392.22261769738,30.6333416791446,1.55419114052111,27.1257526074193,2.76605697230138
pursuit,追踪法,missile_pursuit,missile,0.434531936701111,375.094656143276,0,219.362679828143,59.3510958502007,30.6489041497993,0,1000,9377.92073522725,30.6488990011591,1.55727502625146,27.1795765671691,2.77154548874173
pursuit,追踪法,missile_pursuit,missile,0.444531936701111,383.697035533325,0,224.461607971669,59.3355076186039,30.6644923813961,0,1000,9363.61954553223,30.6644872150331,1.56036952103799,27.2335856898799,2.77705288654942
pursuit,追踪法,missile_pursuit,missile,0.454531936701111,392.298025982523,0,229.562878663713,59.3198883887071,30.6801116112929,0,1000,9349.31905030763,30.6801064271163,1.56347467674459,27.2877808807471,2.78257925802869
