method_id,method_name,t_end_s,hit,miss_m,terminal_miss_m,t_miss_min_s,peak_abs_a_n_g,terminal_a_n_g,terminal_qdot_deg_s
three_point,三点法,7.2239247723114,0,5.9597037043998,6.95445227506448,7.2139247723114,5.04957508007405,5.04957508007405,-2898.79465187242
pursuit,追踪法,7.55985526448042,1,0.0113987284098597,0.0126016901934809,7.55980726822148,211603.969191731,-211603.969191731,-118895.965451957
pn_K4,比例导引法 K=4,7.174531936701,1,1.80072931923207,1.80072931923207,7.174531936701,1192.63244389711,1192.63244389711,167.528976876129
