method_id,method_name,object_id,object_type,time_s,x_m,y_m,z_m,heading_deg,pitch_deg,roll_deg,speed_mps,r_m,q_deg,qdot_deg_s,a_n_m_s2,n_g
pn_K4,比例导引法 K=4,station_pn_K4,station,0,0,0,0,0,0,0,0,0,0,0,0,0
pn_K4,比例导引法 K=4,missile_pn_K4,missile,0,0,0,0,59.9999993352597,30.0000006647404,0,1000,10000,30,1.43239448782704,99.999999999999,10.1971621297792
pn_K4,比例导引法 K=4,missile_pn_K4,missile,2.32038129184932e-07,0.000200950913174724,0,0.00011601906692388,59.9999960115585,30.0000039884415,0,1000,9999.99966748641,30.0000003323701,1.43239445013711,99.9999973687455,10.197161861466
pn_K4,比例导引法 K=4,missile_pn_K4,missile,1.39222877510959e-06,0.00120570543866707,0,0.000696114471485683,59.999978728317,30.000021271683,0,1000,9999.99800491849,30.0000019942207,1.43239426168746,99.9999842124779,10.1971605199001
pn_K4,比例导引法 K=4,missile_pn_K4,missile,7.19318200473289e-06,0.00622947705659689,0,0.0035965932428541,59.9998923122231,30.0001076877769,0,1000,9999.98969207898,30.00001030347,1.43239331943907,99.9999184311304,10.1971538120694
pn_K4,比例导引法 K=4,missile_pn_K4,missile,3.61979481528494e-05,0.0313483099079297,0,0.0180990308135917,59.9994602346003,30.0005397653997,0,1000,9999.94812788461,30.000051849635,1.43238860819373,99.9995895241585,10.1971202728922
pn_K4,比例导引法 K=4,missile_pn_K4,missile,0.000181221778893432,0.156941843204424,0,0.0906123115034549,59.9972999176531,30.0027000823469,0,1000,9999.74030699162,30.0002595784099,1.43236505188317,99.9979449834428,10.1969525764091
pn_K4,比例导引法 K=4,missile_pn_K4,missile,0.000906340932596344,0.784893735399999,0,0.453206034455833,59.9865001121828,30.0134998878172,0,1000,9998.70120449903,30.0012981710408,1.43224726823325,99.9897221334587,10.1961140790646
pn_K4,比例导引法 K=4,missile_pn_K4,missile,0.0045319367011109,3.9242588039229,0,2.26685746163427,59.9557969788981,30.0442030211019,0,1000,9993.50574140622,30.0064898530176,1.43165829756911,99.948604224311,10.1919212192044
pn_K4,比例导引法 K=4,missile_pn_K4,missile,0.0145319367011109,12.5797453970876,0,7.2751050114487,59.9168175875468,30.0831824124532,0,1000,9979.17621270206,30.020798311886,1.43003336548828,99.8351625645839,10.1803533892393
pn_K4,比例导引法 K=4,missile_pn_K4,missile,0.0245319367011109,21.2302276865228,0,12.2919912832036,59.8596487670414,30.1403512329586,0,1000,9964.84731651226,30.0350905181167,1.42840777021212,99.7216746050881,10.1687808380118
pn_K4,比例导引法 K=4,missile_pn_K4,missile,0.0345319367011109,29.8757027535952,0,17.3175014649712,59.8025449835861,30.1974550164139,0,1000,9950.5190579839,30.0493664650832,1.4267815128213,99.6081404212692,10.157203573215
